Employee,Monthly Income (£),Electricity Bill (£),Gas Bill (£),Netflix (£),Amazon Prime (£),Groceries (£),Transportation (£),Water Bill (£),Sky Sports (£),Other Expenses (£),Savings for Property (£),Monthly Outing (£),Date
Employee_1,4999.39,120.0,80.0,12.0,4.99,239.69,149.11,40.0,70.0,100.0,300.0,120.0,2024-12-01
Employee_2,4660.24,120.0,80.0,12.0,4.99,226.24,197.23,0.0,70.0,100.0,300.0,120.0,2024-12-01
Employee_3,1942.89,124.68,98.13,12.0,4.99,333.78,201.28,0.0,70.0,125.77,0.0,120.0,2024-12-01
Employee_4,3565.8,120.0,80.0,12.0,4.99,213.04,154.67,0.0,0.0,100.0,300.0,120.0,2024-12-01
Employee_5,5121.99,120.0,80.0,12.0,4.99,182.56,190.71,0.0,70.0,100.0,300.0,0.0,2024-12-01
Employee_6,4182.71,120.0,80.0,12.0,4.99,284.84,80.91,40.0,70.0,100.0,300.0,120.0,2024-12-01
Employee_7,5924.83,120.0,80.0,12.0,4.99,212.75,98.58,40.0,70.0,0.0,0.0,0.0,2024-12-01
Employee_8,3714.05,120.0,80.0,12.0,4.99,291.74,165.22,40.0,0.0,0.0,0.0,0.0,2024-12-01
Employee_9,3096.13,120.0,80.0,12.0,4.99,168.07,171.32,40.0,70.0,100.0,300.0,120.0,2024-12-01
Employee_10,3330.21,120.0,80.0,12.0,4.99,199.87,104.44,0.0,0.0,100.0,0.0,0.0,2024-12-01
Employee_11,2403.29,120.0,80.0,12.0,4.99,239.68,63.73,40.0,70.0,0.0,300.0,120.0,2024-12-01
Employee_12,1270.58,112.43,78.42,12.0,4.99,292.79,123.39,40.0,70.0,159.18,0.0,0.0,2024-12-01
Employee_13,4595.8,120.0,80.0,12.0,4.99,233.86,98.17,0.0,0.0,100.0,300.0,0.0,2024-12-01
Employee_14,3932.56,120.0,80.0,12.0,4.99,212.72,73.31,0.0,0.0,0.0,300.0,120.0,2024-12-01
Employee_15,1046.21,142.69,99.39,12.0,4.99,342.76,152.39,0.0,0.0,164.79,0.0,120.0,2024-12-01
Employee_16,1950.87,117.02,76.66,12.0,4.99,221.89,244.83,40.0,70.0,180.63,300.0,120.0,2024-12-01
Employee_17,4101.76,120.0,80.0,12.0,4.99,168.18,197.62,0.0,0.0,100.0,300.0,0.0,2024-12-01
Employee_18,2452.36,120.0,80.0,12.0,4.99,297.94,54.0,0.0,70.0,0.0,0.0,120.0,2024-12-01
Employee_19,1891.08,139.01,84.91,12.0,4.99,292.57,151.86,0.0,0.0,119.77,300.0,120.0,2024-12-01
Employee_20,5174.74,120.0,80.0,12.0,4.99,193.89,74.59,0.0,70.0,100.0,0.0,0.0,2024-12-01
Employee_21,4320.49,120.0,80.0,12.0,4.99,267.14,69.56,0.0,0.0,100.0,300.0,120.0,2024-12-01
Employee_22,4976.72,120.0,80.0,12.0,4.99,230.58,167.07,0.0,0.0,100.0,300.0,120.0,2024-12-01
Employee_23,3241.67,120.0,80.0,12.0,4.99,177.59,80.59,40.0,70.0,0.0,0.0,0.0,2024-12-01
Employee_24,4814.25,120.0,80.0,12.0,4.99,244.68,142.25,40.0,0.0,100.0,300.0,0.0,2024-12-01
Employee_25,3832.1,120.0,80.0,12.0,4.99,285.3,168.31,0.0,0.0,100.0,0.0,120.0,2024-12-01
Employee_26,2412.94,120.0,80.0,12.0,4.99,260.11,52.79,0.0,0.0,100.0,300.0,0.0,2024-12-01
Employee_27,1658.82,112.53,82.33,12.0,4.99,328.85,103.0,0.0,0.0,142.55,0.0,0.0,2024-12-01
Employee_28,3536.46,120.0,80.0,12.0,4.99,205.79,63.16,0.0,0.0,0.0,300.0,120.0,2024-12-01
Employee_29,3526.21,120.0,80.0,12.0,4.99,223.29,175.53,40.0,70.0,100.0,300.0,120.0,2024-12-01
Employee_30,3616.62,120.0,80.0,12.0,4.99,218.23,145.86,0.0,70.0,100.0,0.0,0.0,2024-12-01
Employee_31,1806.25,135.2,76.61,12.0,4.99,214.98,229.88,0.0,0.0,188.41,0.0,120.0,2024-12-01
Employee_32,4892.26,120.0,80.0,12.0,4.99,222.4,187.93,40.0,70.0,100.0,300.0,0.0,2024-12-01
Employee_33,4191.94,120.0,80.0,12.0,4.99,215.77,77.12,40.0,70.0,0.0,300.0,120.0,2024-12-01
Employee_34,4238.02,120.0,80.0,12.0,4.99,236.81,105.72,40.0,70.0,100.0,0.0,120.0,2024-12-01
Employee_35,3244.11,120.0,80.0,12.0,4.99,277.29,168.82,40.0,0.0,0.0,0.0,0.0,2024-12-01
Employee_36,2236.12,120.0,80.0,12.0,4.99,208.82,75.5,40.0,70.0,100.0,300.0,0.0,2024-12-01
Employee_37,4556.1,120.0,80.0,12.0,4.99,240.93,62.9,0.0,70.0,100.0,300.0,0.0,2024-12-01
Employee_38,2076.84,120.0,80.0,12.0,4.99,298.2,159.25,40.0,70.0,100.0,0.0,0.0,2024-12-01
Employee_39,2575.02,120.0,80.0,12.0,4.99,227.01,133.96,40.0,0.0,0.0,300.0,0.0,2024-12-01
Employee_40,3943.54,120.0,80.0,12.0,4.99,191.16,133.26,40.0,70.0,0.0,0.0,120.0,2024-12-01
